2026-03-26 15:58:05.495 [info] [McpGatewayService] Initialized
2026-03-26 15:58:20.278 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:58:20.452 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:00:57.157 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:00:57.158 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:00:57.395 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:01:28.789 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:01:28.789 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:01:28.789 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:01:28.944 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:03:38.566 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:03:38.566 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:03:38.566 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:03:38.566 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 16:03:38.769 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
