2026-03-26 15:04:17.538 [info] [McpGatewayService] Initialized
2026-03-26 15:05:37.532 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:05:37.731 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:08:10.899 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:08:10.899 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:08:11.145 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:13:04.456 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:13:04.456 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:13:04.456 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 15:13:04.668 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
